State,Year,Education Level of Mother,Education_Level_Code,Number_of_Births,Average_Age_of_Mother
Alabama,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,487,33.1
Alabama,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,511,32.8
Alabama,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1910,32
Alabama,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1974,32.2
Alabama,2016,"Bachelor's degree (BA, AB, BS)",6,4453,30.3
Alabama,2016,"Bachelor's degree (BA, AB, BS)",6,4645,30.3
Alabama,2016,"Associate degree (AA, AS)",5,2227,28.9
Alabama,2016,"Associate degree (AA, AS)",5,2460,29
Alabama,2016,"Some college credit, but not a degree",4,6453,26.7
Alabama,2016,"Some college credit, but not a degree",4,6516,26.7
Alabama,2016,High school graduate or GED completed,3,8777,25.4
Alabama,2016,High school graduate or GED completed,3,9284,25.2
Alabama,2016,9th through 12th grade with no diploma,2,3436,24.1
Alabama,2016,9th through 12th grade with no diploma,2,3657,23.9
Alabama,2016,8th grade or less,1,1052,27.8
Alabama,2016,8th grade or less,1,1188,27.6
Alabama,2016,Unknown or Not Stated,0,65,27.7
Alabama,2016,Unknown or Not Stated,0,56,27.2
Alabama,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,551,33.1
Alabama,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,588,33
Alabama,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1874,32.1
Alabama,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1947,31.8
Alabama,2017,"Bachelor's degree (BA, AB, BS)",6,4335,30.5
Alabama,2017,"Bachelor's degree (BA, AB, BS)",6,4624,30.4
Alabama,2017,"Associate degree (AA, AS)",5,2411,28.9
Alabama,2017,"Associate degree (AA, AS)",5,2446,28.9
Alabama,2017,"Some college credit, but not a degree",4,6384,26.9
Alabama,2017,"Some college credit, but not a degree",4,6651,26.8
Alabama,2017,High school graduate or GED completed,3,8962,25.4
Alabama,2017,High school graduate or GED completed,3,9403,25.4
Alabama,2017,9th through 12th grade with no diploma,2,3283,24.4
Alabama,2017,9th through 12th grade with no diploma,2,3345,23.9
Alabama,2017,8th grade or less,1,1012,27.6
Alabama,2017,8th grade or less,1,978,27.6
Alabama,2017,Unknown or Not Stated,0,62,28
Alabama,2017,Unknown or Not Stated,0,85,26.7
Alabama,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,531,33.4
Alabama,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,570,33.1
Alabama,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1869,32
Alabama,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1988,31.9
Alabama,2018,"Bachelor's degree (BA, AB, BS)",6,4212,30.4
Alabama,2018,"Bachelor's degree (BA, AB, BS)",6,4621,30.5
Alabama,2018,"Associate degree (AA, AS)",5,2466,28.9
Alabama,2018,"Associate degree (AA, AS)",5,2568,29
